Date,State_Name,veg_id,veg_name,whole_price,retail_price,shop_mall_price,unit_val,Vegetable_Image
2023-05-03,Bihar,pumpkin,Pumpkin,22,25 - 28,26 - 36,1kg,resource/images/vegetables/pumpkin-64.png
2023-05-03,Bihar,radish,Radish,22,25 - 28,26 - 36,1kg,resource/images/vegetables/radish-64.png
2023-05-03,Bihar,ridgegourd,Ridge Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/ridgegourd-64.png
2023-05-03,Bihar,shallot,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,resource/images/vegetables/shallot-64.png
2023-05-03,Bihar,snakegourd,Snake Gourd,29,33 - 37,35 - 48,1kg,resource/images/vegetables/snakegourd-64.png
2023-05-03,Bihar,sorrelleaves,Sorrel Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/sorrelleaves-64.png
2023-05-03,Bihar,spinach,Spinach,10,12 - 13,12 - 17,1kg,resource/images/vegetables/spinach-64.png
2023-05-03,Bihar,sweetpotato,Sweet Potato,37,43 - 47,44 - 61,1kg,resource/images/vegetables/sweetpotato-64.png
2023-05-04,Bihar,onionbig,Onion Big,19,22 - 24,23 - 31,1kg,resource/images/vegetables/onionbig-64.png
2023-05-04,Bihar,onionsmall,Onion Small,50,58 - 64,60 - 83,1kg,resource/images/vegetables/onionsmall-64.png
2023-05-04,Bihar,tomato,Tomato,17,20 - 22,20 - 28,1kg,resource/images/vegetables/tomato-64.png
2023-05-04,Bihar,greenchili,Green Chilli,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenchili-64.png
2023-05-04,Bihar,beetroot,Beetroot,37,43 - 47,44 - 61,1kg,resource/images/vegetables/beetroot-64.png
2023-05-04,Bihar,potato,Potato,27,31 - 34,32 - 45,1kg,resource/images/vegetables/potato-64.png
2023-05-04,Bihar,plantain,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg,resource/images/vegetables/plantain-64.png
2023-05-04,Bihar,amaranthleaves,Amaranth Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/amaranthleaves-64.png
2023-05-04,Bihar,amla,Amla,70,81 - 89,84 - 116,1kg,resource/images/vegetables/amla-64.png
2023-05-04,Bihar,ashgourd,Ash gourd,21,24 - 27,25 - 35,1kg,resource/images/vegetables/ashgourd-64.png
2023-05-04,Bihar,babycorn,Baby Corn,64,74 - 81,77 - 106,1kg,resource/images/vegetables/babycorn-64.png
2023-05-04,Bihar,bananaflower,Banana Flower,22,25 - 28,26 - 36,1kg,resource/images/vegetables/bananaflower-64.png
2023-05-04,Bihar,capsicum,Capsicum,48,55 - 61,58 - 79,1kg,resource/images/vegetables/capsicum-64.png
2023-05-04,Bihar,bittergourd,Bitter Gourd,28,32 - 36,34 - 46,1kg,resource/images/vegetables/bittergourd-64.png
2023-05-04,Bihar,bottlegourd,Bottle Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/bottlegourd-64.png
2023-05-04,Bihar,butterbeans,Butter Beans,47,54 - 60,56 - 78,1kg,resource/images/vegetables/butterbeans-64.png
2023-05-04,Bihar,broadbeans,Broad Beans,41,47 - 52,49 - 68,1kg,resource/images/vegetables/broadbeans-64.png
2023-05-04,Bihar,cabbage,Cabbage,12,14 - 15,14 - 20,1kg,resource/images/vegetables/cabbage-64.png
2023-05-04,Bihar,carrot,Carrot,39,45 - 50,47 - 64,1kg,resource/images/vegetables/carrot-64.png
2023-05-04,Bihar,cauliflower,Cauliflower,24,28 - 30,29 - 40,1kg,resource/images/vegetables/cauliflower-64.png
2023-05-04,Bihar,clusterbeans,Cluster beans,42,48 - 53,50 - 69,1kg,resource/images/vegetables/clusterbeans-64.png
2023-05-04,Bihar,coconut,Coconut,23,26 - 29,28 - 38,1kg,resource/images/vegetables/coconut-64.png
2023-05-04,Bihar,colocasialeaves,Colocasia Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/colocasialeaves-64.png
2023-05-04,Bihar,colocasia,Colocasia,24,28 - 30,29 - 40,1kg,resource/images/vegetables/colocasia-64.png
2023-05-04,Bihar,corianderleaves,Coriander Leaves,7,8 - 9,8 - 12,1kg,resource/images/vegetables/corianderleaves-64.png
2023-05-04,Bihar,corn,Corn,24,28 - 30,29 - 40,1kg,resource/images/vegetables/corn-64.png
2023-05-04,Bihar,cucumber,Cucumber,31,36 - 39,37 - 51,1kg,resource/images/vegetables/cucumber-64.png
2023-05-04,Bihar,curryleaves,Curry Leaves,27,31 - 34,32 - 45,1kg,resource/images/vegetables/curryleaves-64.png
2023-05-04,Bihar,dillleaves,Dill Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/dillleaves-64.png
2023-05-04,Bihar,drumsticks,Drumsticks,80,92 - 102,96 - 132,1kg,resource/images/vegetables/drumsticks-64.png
2023-05-04,Bihar,brinjal,Brinjal,20,23 - 25,24 - 33,1kg,resource/images/vegetables/brinjal-64.png
2023-05-04,Bihar,brinjalbig,Brinjal (Big),23,26 - 29,28 - 38,1kg,resource/images/vegetables/brinjalbig-64.png
2023-05-04,Bihar,elephantyam,Elephant Yam,27,31 - 34,32 - 45,1kg,resource/images/vegetables/elephantyam-64.png
2023-05-04,Bihar,fenugreekleaves,Fenugreek Leaves,9,10 - 11,11 - 15,1kg,resource/images/vegetables/fenugreekleaves-64.png
2023-05-04,Bihar,frenchbeans,French Beans,42,48 - 53,50 - 69,1kg,resource/images/vegetables/frenchbeans-64.png
2023-05-04,Bihar,garlic,Garlic,60,69 - 76,72 - 99,1kg,resource/images/vegetables/garlic-64.png
2023-05-04,Bihar,ginger,Ginger,60,69 - 76,72 - 99,1kg,resource/images/vegetables/ginger-64.png
2023-05-04,Bihar,oniongreen,Onion Green,38,44 - 48,46 - 63,1kg,resource/images/vegetables/oniongreen-64.png
2023-05-04,Bihar,greenpeas,Green Peas,84,97 - 107,101 - 139,1kg,resource/images/vegetables/greenpeas-64.png
2023-05-04,Bihar,ivygourd,Ivy Gourd,27,31 - 34,32 - 45,1kg,resource/images/vegetables/ivygourd-64.png
2023-05-04,Bihar,lemon,Lemon (Lime),53,61 - 67,64 - 87,1kg,resource/images/vegetables/lemon-64.png
2023-05-04,Bihar,mangoraw,Mango Raw,33,38 - 42,40 - 54,1kg,resource/images/vegetables/mangoraw-64.png
2023-05-04,Bihar,mintleaves,Mint Leaves,6,7 - 8,7 - 10,1kg,resource/images/vegetables/mintleaves-64.png
2023-05-04,Bihar,mushroom,Mushroom,73,84 - 93,88 - 120,1kg,resource/images/vegetables/mushroom-64.png
2023-05-04,Bihar,mustardleaves,Mustard Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/mustardleaves-64.png
2023-05-04,Bihar,ladiesfinger,Ladies Finger,40,46 - 51,48 - 66,1kg,resource/images/vegetables/ladiesfinger-64.png
2023-05-04,Bihar,pumpkin,Pumpkin,22,25 - 28,26 - 36,1kg,resource/images/vegetables/pumpkin-64.png
2023-05-04,Bihar,radish,Radish,22,25 - 28,26 - 36,1kg,resource/images/vegetables/radish-64.png
2023-05-04,Bihar,ridgegourd,Ridge Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/ridgegourd-64.png
2023-05-04,Bihar,shallot,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,resource/images/vegetables/shallot-64.png
2023-05-04,Bihar,snakegourd,Snake Gourd,29,33 - 37,35 - 48,1kg,resource/images/vegetables/snakegourd-64.png
2023-05-04,Bihar,sorrelleaves,Sorrel Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/sorrelleaves-64.png
2023-05-04,Bihar,spinach,Spinach,10,12 - 13,12 - 17,1kg,resource/images/vegetables/spinach-64.png
2023-05-04,Bihar,sweetpotato,Sweet Potato,37,43 - 47,44 - 61,1kg,resource/images/vegetables/sweetpotato-64.png
2023-05-05,Bihar,onionbig,Onion Big,19,22 - 24,23 - 31,1kg,resource/images/vegetables/onionbig-64.png
2023-05-05,Bihar,onionsmall,Onion Small,50,58 - 64,60 - 83,1kg,resource/images/vegetables/onionsmall-64.png
2023-05-05,Bihar,tomato,Tomato,17,20 - 22,20 - 28,1kg,resource/images/vegetables/tomato-64.png
2023-05-05,Bihar,greenchili,Green Chilli,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenchili-64.png
2023-05-05,Bihar,beetroot,Beetroot,37,43 - 47,44 - 61,1kg,resource/images/vegetables/beetroot-64.png
2023-05-05,Bihar,potato,Potato,27,31 - 34,32 - 45,1kg,resource/images/vegetables/potato-64.png
